## Scaife et al. 2011, 2012 Perseus and Serpens
## Units of Pdot are (Moyr^-1kms^-1)
## Units of Sd**2 are [mJykpc**2]  
Name              dist(kpc)      Flux(uJy)         Sd**2          Lbol(Lo)       Pdot       Refs
G133.947+1.064        3.0             1209.2e3        na              20.6e4        na          Kurtz_94
G138.295+1.555        3.8             2.1e3           na              3.7e4         na          Kurtz_94
G139.909+0.197        4.2             20.0e3          na              6.6e4         na          Kurtz_94
G189.030+0.784        0.8             0.7e3           na              0.3e4         na          Kurtz_94
G189.876+0.516        2.8             1.9e3           na              2.7e4         na          Kurtz_94
G192.584-0.041        2.5             22.3e3          na              6.1e4         na          Kurtz_94
G206.543-16.347       0.5             8.9e3           na              1.3e4         na          Kurtz_94
G213.880-11.837       1.0             118.3e3         na              1.1e4         na          Kurtz_94      
        
        
        
        
