col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 135 342.28531 1.45956 1.03433 2.48637 65.65714 1.64123 27.90759 12.30227 10400.0 21.92453 17.53878 0.13386 1.84250 157.90514 1.66840 4.19036e+01 12.17835 13.81656 1.39849 7.34285e+05 2.07075 4.54797e+04 1.12892 21.88571 1.64123 2.02269e+02 1.99453 9.93504e-04 1.79045 8.91179e+05 1.93098 2.58487e+06 1.83176 7.74315e+05 1.33245 1.07061e+05 2.11484 G035.0524-00.5177
"" "average model method 2" 35 110.02936 2.10695 0.34894 5.26114 15.08877 1.34584 62.83515 15.07609 10600.0 9.25407 10.70062 0.13067 3.29351 49.40958 4.65468 3.42926e+01 14.05707 6.94945 2.04143 3.14821e+04 2.44456 2.91805e+04 1.42484 5.02959 1.34584 1.43158e+02 1.72008 1.71023e-04 2.68320 4.24755e+04 2.40682 1.47425e+04 1.10847 1.33682e+04 1.06715 1.49530e+05 2.64483 G035.4570-00.1791
"" "average model method 2" 57 394.59393 1.18209 3.16000 1.00000 24.00000 1.00000 59.68748 19.31812 8800.0 44.06385 24.45267 0.08223 1.08724 353.31030 1.21180 1.31896e+01 1.54160 31.67314 1.09009 2.68139e+05 1.01410 2.33505e+04 1.04753 8.00000 1.00000 4.67189e+01 1.06720 1.86095e-03 1.04036 3.01113e+05 1.02036 2.41595e+05 1.09695 1.99639e+05 1.10590 2.53635e+04 1.05400 G035.5781-00.0305
"" "average model method 2" 303 293.80124 1.53549 0.78370 3.10480 41.47081 1.61219 60.68227 17.38458 10400.0 57.13924 42.34008 0.14248 2.13516 181.65567 1.62683 3.33746e+01 9.61226 11.24717 1.49859 3.23755e+05 2.17801 4.10756e+04 1.26908 13.82360 1.61219 1.59802e+02 2.00002 6.92301e-04 2.08293 4.03501e+05 2.11891 1.22487e+05 1.39928 8.44833e+04 1.15350 1.05837e+05 2.33394 G036.4057+00.0226
"" "average model method 2" 179 290.96288 1.47428 0.10733 1.60818 14.19872 1.47672 62.12410 18.68844 3800.0 87.13478 38.65329 0.38314 1.46183 239.16838 1.71050 2.13434e+01 11.60605 5.82688 1.59988 2.23014e+04 2.24968 2.92359e+04 1.35696 4.73291 1.47672 1.93060e+02 1.56896 9.88176e-05 1.31658 3.00561e+04 2.10607 1.91035e+04 1.43859 1.15082e+04 1.16331 2.68239e+05 1.55543 G036.4062+00.0221
"" "average model method 2" 105 287.86226 1.75934 0.34892 4.17354 43.00565 1.71604 65.89554 16.43384 3800.0 23.12904 16.92509 0.21136 2.62874 146.08113 2.14387 3.97180e+01 12.84357 10.43425 1.49588 2.99979e+05 2.56531 4.18402e+04 1.20062 14.33522 1.71604 2.61069e+02 2.10787 3.47575e-04 2.50908 3.49634e+05 2.50766 9.11195e+04 1.22740 7.36646e+04 1.09304 2.02280e+05 2.64076 G037.5457-00.1120
"" "average model method 2" 494 235.43641 1.76960 0.41327 3.65210 32.70586 1.80896 63.25589 17.36494 10000.0 75.07791 47.52111 0.17564 2.44885 129.54602 2.07680 3.66302e+01 13.16744 9.47956 1.67307 1.72497e+05 3.05730 3.82255e+04 1.31557 10.90195 1.80896 1.99622e+02 2.05542 3.39400e-04 2.33518 2.12084e+05 2.89913 5.87177e+04 1.56419 3.52062e+04 1.18772 1.61686e+05 2.43614 G037.7347-00.1128
"" "average model method 2" 8 177.44812 2.01541 0.99946 5.09308 39.77312 1.58559 55.89881 14.48684 10300.0 3.78718 4.92845 0.09805 3.15465 80.25513 2.19612 4.14068e+01 7.77277 10.78514 1.23223 3.35578e+05 1.78895 4.23240e+04 1.14049 13.25771 1.58559 1.60540e+02 2.60726 6.56852e-04 2.60879 4.21915e+05 1.69254 1.20090e+05 1.13860 1.13055e+05 1.06856 1.00050e+05 3.37560 G037.7562+00.5605
"" "average model method 2" 671 283.89185 1.62295 0.51899 3.56373 38.98230 1.68981 62.89017 16.82915 12200.0 45.77657 39.11826 0.17211 2.31596 163.54117 1.90038 3.54668e+01 12.28698 10.36228 1.55992 2.60216e+05 2.55849 4.05189e+04 1.26605 12.99410 1.68981 1.93057e+02 2.06555 4.70268e-04 2.35226 3.18758e+05 2.46704 9.22003e+04 1.49692 6.57642e+04 1.30325 1.41768e+05 2.47959 G037.8197+00.4140
"" "average model method 2" 620 282.44629 1.62539 0.52575 3.61944 39.87684 1.68927 62.56450 16.82219 12200.0 46.92252 37.95694 0.17056 2.33472 160.35157 1.89562 3.60293e+01 12.11889 10.52332 1.55480 2.72887e+05 2.53801 4.06884e+04 1.26850 13.29228 1.68927 1.95830e+02 2.06796 4.77122e-04 2.38135 3.32325e+05 2.46288 9.31044e+04 1.49605 6.59978e+04 1.31075 1.42385e+05 2.49890 G037.8209+00.4125
"" "average model method 2" 283 321.68951 1.57474 0.49249 3.61216 50.78377 1.66593 61.94859 17.02227 12200.0 23.10299 23.73195 0.18807 2.29820 169.99579 1.75005 3.94261e+01 11.25852 11.70857 1.45072 4.33011e+05 2.31186 4.32937e+04 1.20654 16.92792 1.66593 2.40342e+02 2.10614 5.11374e-04 2.37865 5.08355e+05 2.25228 1.29599e+05 1.38287 1.05840e+05 1.23231 1.64961e+05 2.54397 G037.8683-00.6008
"" "average model method 2" 40 107.84469 1.34070 0.18832 3.01720 18.68242 1.59719 69.81462 15.21447 9400.0 13.29539 11.22626 0.17609 1.91179 42.07418 2.53778 4.63475e+01 13.56064 6.33250 1.69644 3.91587e+04 2.91841 3.22828e+04 1.39063 6.22747 1.59719 2.50161e+02 1.60116 1.00417e-04 2.06224 4.82984e+04 2.76237 9.95398e+03 1.14347 8.70493e+03 1.07555 2.73989e+05 1.98510 G037.9723-00.0965
"" "average model method 2" 71 302.30143 1.66407 0.16263 3.04018 33.00045 1.48571 59.65241 16.20951 9740.0 18.51147 18.35824 0.31726 2.22723 188.21120 2.04260 3.52235e+01 11.66930 8.33655 1.38038 1.59873e+05 2.18376 3.99947e+04 1.16840 11.00015 1.48571 3.00467e+02 1.88512 1.84916e-04 1.94294 1.84534e+05 2.10369 6.95163e+04 1.24760 5.81571e+04 1.07365 3.05087e+05 2.19764 G038.5493+00.1646
"" "average model method 2" 136 65.88390 1.54898 0.20882 2.84453 11.53249 1.51623 71.68464 13.05942 4700.0 44.36761 27.24498 0.13071 2.02183 28.95070 2.59441 4.14900e+01 12.94702 6.24635 1.59983 1.56945e+04 2.95224 2.58628e+04 1.39191 3.84416 1.51623 1.79989e+02 1.57654 8.23559e-05 1.89637 2.09445e+04 2.23294 5.22194e+03 1.35709 3.77522e+03 1.14661 2.22780e+05 1.92388 G038.6529+00.0875
"" "average model method 2" 205 288.44013 1.67716 0.49258 3.95025 42.33023 1.58034 61.88979 16.57056 17100.0 37.39413 28.66627 0.17807 2.52273 166.61936 1.88387 3.65216e+01 9.71789 10.70175 1.45064 3.12536e+05 2.17362 4.17397e+04 1.25050 14.11008 1.58034 2.09252e+02 2.11354 4.74373e-04 2.43045 3.74951e+05 2.14717 1.09974e+05 1.40363 8.18955e+04 1.21297 1.53123e+05 2.66501 G038.6934-00.4524
"" "average model method 2" 169 279.39466 1.65336 0.40124 3.97827 38.88809 1.69955 64.40357 16.00675 9900.0 56.23107 34.07110 0.19418 2.51022 150.52018 2.05856 3.76745e+01 13.17673 10.02908 1.59339 2.40511e+05 2.67745 4.03836e+04 1.29938 12.96270 1.69955 2.23690e+02 2.00371 3.73630e-04 2.49348 2.88583e+05 2.63860 7.56673e+04 1.34645 4.97786e+04 1.08745 1.73337e+05 2.51312 G038.8756+00.3080
"" "average model method 2" 58 308.96159 1.73770 0.29199 3.83478 40.49417 1.54052 68.73620 15.89756 15900.0 29.33616 17.29068 0.23937 2.56424 180.39190 2.06858 3.66094e+01 10.97648 10.03905 1.43163 2.70434e+05 2.07513 4.15643e+04 1.22299 13.49806 1.54052 2.61615e+02 2.02567 3.16259e-04 2.25994 3.12604e+05 2.03602 9.62149e+04 1.21606 7.55279e+04 1.08170 2.18100e+05 2.54349 G039.1956+00.2255
"" "average model method 2" 168 341.61813 1.42692 1.06312 2.52957 48.47616 1.66052 56.31573 16.74758 15900.0 32.29735 29.12691 0.13191 1.85890 214.30356 1.40762 3.24877e+01 10.17055 13.40993 1.41719 4.87050e+05 1.97546 4.16612e+04 1.23072 16.15872 1.66052 1.49584e+02 1.99512 9.86246e-04 1.75950 5.92023e+05 1.91434 1.91095e+05 1.30763 1.52572e+05 1.16150 8.78632e+04 2.17455 G039.8824-00.3460
"" "average model method 2" 310 283.28354 1.67151 0.43668 3.69650 41.34265 1.74656 63.39697 16.91969 9100.0 52.38182 37.32245 0.18743 2.42591 150.79416 1.96764 3.80954e+01 13.10225 10.78552 1.58693 2.84760e+05 2.63021 4.06210e+04 1.28054 13.78088 1.74656 2.23925e+02 2.12925 4.09287e-04 2.28959 3.37832e+05 2.52639 8.72817e+04 1.39180 5.86703e+04 1.14185 1.67398e+05 2.53663 G040.4251+00.7002
"" "average model method 2" 122 326.82012 1.53645 0.48328 3.54739 48.82432 1.50893 58.97356 17.27610 12100.0 35.86921 26.01853 0.19136 2.30202 193.32671 1.58976 3.71120e+01 7.92650 11.33414 1.34038 4.14604e+05 1.82759 4.35277e+04 1.21490 16.27477 1.50893 2.28627e+02 2.14798 5.19316e-04 2.21839 4.90230e+05 1.78232 1.48943e+05 1.26908 1.10594e+05 1.11688 1.61914e+05 2.62641 G041.7419+00.0973
"" "average model method 2" 54 335.38696 1.52868 0.66663 4.05229 56.31857 1.55988 52.51109 15.12582 11800.0 10.07809 14.62828 0.16506 2.43513 184.56047 1.50198 3.86405e+01 9.21768 12.79445 1.26903 5.84433e+05 1.76445 4.46401e+04 1.15234 18.77286 1.55988 2.18058e+02 2.37776 6.99347e-04 2.48825 6.93499e+05 1.70624 2.17820e+05 1.27924 1.94042e+05 1.13216 1.36668e+05 2.96738 G042.1090-00.4469
"" "average model method 2" 225 299.15052 1.64166 0.39394 3.84639 48.37271 1.72659 64.40146 16.23753 8800.0 64.98804 38.59462 0.20278 2.43327 143.70861 1.97640 4.18166e+01 12.61974 11.20721 1.52219 3.72962e+05 2.56622 4.26304e+04 1.23973 16.12424 1.72659 2.69021e+02 2.08220 3.97049e-04 2.38486 4.32929e+05 2.48216 9.82865e+04 1.47384 5.79625e+04 1.08957 1.95085e+05 2.55320 G042.4345-00.2605
"" "average model method 2" 79 343.45159 1.49837 0.74681 3.56088 55.89563 1.60059 53.40911 16.29532 8200.0 9.97935 15.30813 0.15781 2.25634 192.87434 1.47737 3.75778e+01 9.99216 13.04124 1.29661 5.85475e+05 1.85435 4.42353e+04 1.16159 18.63188 1.60059 2.03617e+02 2.27997 7.71352e-04 2.27070 6.97105e+05 1.78062 2.15664e+05 1.31003 1.93778e+05 1.18132 1.24193e+05 2.73823 G043.1778-00.5181
"" "average model method 2" 155 359.11571 1.38830 1.29629 2.42395 42.23590 1.57881 54.33887 16.61568 11900.0 21.92432 26.84163 0.12248 1.78677 254.47358 1.37351 2.73863e+01 8.80605 14.31460 1.50280 4.24158e+05 1.67428 3.89533e+04 1.29920 14.07863 1.57881 1.17583e+02 1.97480 1.13585e-03 1.66618 5.20637e+05 1.65978 2.14617e+05 1.24815 1.85272e+05 1.18025 6.89413e+04 2.18256 G043.2371-00.0453
"" "average model method 2" 116 368.23791 1.34998 0.10934 1.73408 14.18521 1.24958 62.76790 17.65053 4400.0 83.34069 23.28653 0.42704 1.48733 330.91497 1.41908 1.68362e+01 5.27577 5.22664 1.53966 2.21438e+04 1.54471 3.08144e+04 1.25825 4.72840 1.24958 1.80453e+02 1.41333 1.11265e-04 1.37802 3.12364e+04 1.45144 2.33587e+04 1.26158 1.49189e+04 1.12759 2.47915e+05 1.53516 G043.3064-00.2114
"" "average model method 2" 94 426.22960 1.17538 2.00910 1.75967 31.63800 1.47221 60.08488 19.03042 9200.0 39.96461 25.36459 0.10718 1.40072 356.13593 1.17382 1.82732e+01 7.18691 20.11806 1.78108 3.15094e+05 1.43329 3.05048e+04 1.40058 10.54600 1.47221 7.08990e+01 1.71772 1.50773e-03 1.31369 3.82662e+05 1.48389 2.35427e+05 1.10692 1.96677e+05 1.10257 4.03520e+04 1.80114 G043.7954-00.1274
"" "average model method 2" 277 312.71952 1.64712 0.27448 3.66792 44.89375 1.71475 63.49888 16.63086 4400.0 17.81778 21.34787 0.24838 2.37150 159.25341 2.04842 4.06076e+01 13.20713 10.55979 1.51602 3.12473e+05 2.62625 4.20172e+04 1.22253 14.96458 1.71475 3.00255e+02 2.04691 2.98672e-04 2.33194 3.56293e+05 2.54172 9.45654e+04 1.37741 7.93943e+04 1.19086 2.42718e+05 2.46912 G043.8894-00.7840
"" "average model method 2" 36 304.11130 1.61685 0.13334 2.63252 24.53752 1.22605 70.09998 14.31512 14100.0 11.50547 12.17764 0.35142 2.05379 233.87649 1.78512 2.73555e+01 3.91901 7.61375 1.61746 8.34367e+04 1.35396 3.55706e+04 1.28667 8.17917 1.22605 2.52572e+02 1.67285 1.51469e-04 1.69343 9.76525e+04 1.32299 5.16684e+04 1.15016 4.70401e+04 1.06770 2.98136e+05 1.99639 G043.9675+00.9939
"" "average model method 2" 299 246.65564 1.68310 0.55245 3.63564 34.21888 1.73750 64.01733 17.64288 8000.0 75.31671 48.69426 0.15549 2.42066 140.64446 1.99476 3.50560e+01 12.59849 10.15514 1.68653 2.03957e+05 2.69342 3.85117e+04 1.34059 11.40629 1.73750 1.74338e+02 2.05349 4.46556e-04 2.27908 2.53646e+05 2.57459 7.05308e+04 1.43948 4.35520e+04 1.11991 1.30992e+05 2.47149 G044.3103+00.0410
"" "average model method 2" 12 318.31353 1.51593 1.61492 2.15869 51.80385 1.63780 37.41901 9.62872 17900.0 0.00000 0.00000 0.10331 1.77951 189.34131 1.55552 3.33402e+01 9.51245 13.37991 1.32608 5.73211e+05 1.86085 4.34414e+04 1.18422 17.26795 1.63780 1.29548e+02 1.88571 1.36362e-03 1.49413 7.28910e+05 1.77826 4.16983e+05 1.23336 4.16983e+05 1.23336 6.77511e+04 1.96363 G044.4228+00.5377
"" "average model method 2" 88 403.76513 1.16160 2.80920 1.41996 22.20500 1.19803 55.02858 21.98961 4400.0 211.53510 119.34492 0.08822 1.24105 363.59295 1.18333 1.28084e+01 2.13002 29.90662 1.62930 2.00067e+05 1.57897 2.23337e+04 1.32845 7.40167 1.19803 4.64922e+01 1.28309 1.64736e-03 1.26997 2.31376e+05 1.57178 2.11881e+05 1.88743 9.68707e+04 1.05544 2.64310e+04 1.34438 G045.0694+00.1323
"" "average model method 2" 259 382.21605 1.27892 1.70418 1.77686 26.65999 1.48609 57.55353 21.21202 4400.0 177.82281 111.40544 0.11020 1.47695 321.26276 1.32015 1.76500e+01 6.11477 15.93512 1.93045 2.01869e+05 1.85374 3.06649e+04 1.48366 8.88666 1.48609 6.95662e+01 1.59403 1.19696e-03 1.41286 2.60411e+05 1.88716 1.93588e+05 2.10044 8.98875e+04 1.05336 4.29978e+04 1.66794 G045.0712+00.1321
"" "average model method 2" 59 395.99781 1.18098 3.16000 1.00000 24.00000 1.00000 58.09938 20.79466 4400.0 12.65195 30.58726 0.08238 1.08673 354.77445 1.21040 1.31550e+01 1.53140 31.73482 1.08939 2.68069e+05 1.01406 2.33263e+04 1.04719 8.00000 1.00000 4.66485e+01 1.06663 1.86244e-03 1.04018 3.00986e+05 1.02025 2.55082e+05 1.35916 2.32063e+05 1.09791 2.53340e+04 1.05362 G045.1242+00.1356
"" "average model method 2" 2119 285.98365 1.58206 0.85390 2.96359 30.29200 1.94578 56.38344 21.66804 7200.0 0.00000 0.00000 0.13467 2.01449 186.43828 1.84285 2.87940e+01 14.80587 13.21035 1.84562 1.91370e+05 3.04280 3.32325e+04 1.52869 10.09733 1.94578 1.21548e+02 2.30631 6.34702e-04 2.10007 2.37540e+05 2.97031 1.45580e+05 3.49050 1.45580e+05 3.49050 8.47324e+04 2.49287 G045.4545+00.0591
"" "average model method 2" 2096 287.71588 1.57521 0.85384 2.95485 30.39641 1.94669 56.42513 21.72358 7200.0 0.00000 0.00000 0.13508 2.00795 187.71516 1.83468 2.87696e+01 14.82106 13.19190 1.83756 1.92680e+05 3.04447 3.33125e+04 1.52489 10.13214 1.94669 1.21684e+02 2.30608 6.36782e-04 2.09767 2.39247e+05 2.97058 1.47084e+05 3.48942 1.47084e+05 3.48942 8.47501e+04 2.48963 G045.4559+00.0613
"" "average model method 2" 997 328.49814 1.43232 1.13896 2.49121 33.46187 1.75764 57.17736 21.27730 6000.0 19.89033 52.40598 0.12497 1.79776 234.55820 1.54186 2.60379e+01 11.59286 13.49031 1.75036 2.55161e+05 2.36755 3.53382e+04 1.43563 11.15396 1.75764 1.07423e+02 2.07031 8.93940e-04 1.80589 3.22957e+05 2.31779 1.90626e+05 2.77839 1.34378e+05 1.48461 6.88372e+04 2.21679 G045.4656+00.0452
"" "average model method 2" 58 157.78862 1.76416 0.34225 4.44452 28.75695 1.50526 68.46103 13.94309 5890.0 12.37564 13.26882 0.15800 2.73294 69.34117 2.44309 4.35600e+01 10.40293 9.04587 1.66989 1.30412e+05 2.09957 3.64885e+04 1.36949 9.58565 1.50526 2.24592e+02 2.03828 2.30441e-04 2.53142 1.53081e+05 2.14217 3.54013e+04 1.19779 3.10423e+04 1.08597 1.95506e+05 2.73567 G045.5431-00.0073
"" "average model method 2" 990 340.05328 1.41033 1.13338 2.59421 26.77328 1.77586 56.00710 21.54881 5400.0 378.80393 209.16373 0.12746 1.82996 267.27302 1.47124 2.15563e+01 10.13326 15.22226 1.96333 1.70043e+05 2.60036 3.00574e+04 1.59511 8.92443 1.77586 8.92309e+01 2.09214 8.31215e-04 1.85480 2.13320e+05 2.61314 1.58203e+05 3.10047 3.69488e+04 1.09974 6.06555e+04 2.28399 G048.9901-00.2988
"" "average model method 2" 67 153.34112 1.34128 0.11086 1.61551 13.61516 1.28424 66.16227 15.95469 1900.0 11.74417 13.11090 0.27368 1.44376 112.20680 1.60003 2.90903e+01 9.50558 5.01153 1.43413 1.81893e+04 1.73543 2.99585e+04 1.22515 4.53839 1.28424 2.11239e+02 1.35673 8.02031e-05 1.31742 2.48251e+04 1.63000 1.21149e+04 1.21206 1.10851e+04 1.14009 3.03385e+05 1.40566 G050.3152+00.6762
"" "average model method 2" 219 304.84748 1.53580 0.55470 3.45373 40.71258 1.54062 59.11028 17.62091 8580.0 47.22085 38.55860 0.17251 2.26991 192.91090 1.64180 3.35642e+01 8.62026 10.64897 1.48776 2.95413e+05 2.04463 4.12578e+04 1.27323 13.57086 1.54062 1.85571e+02 2.07273 5.34863e-04 2.20702 3.62215e+05 1.99593 1.19800e+05 1.37206 8.52314e+04 1.12423 1.34450e+05 2.52309 G050.3157+00.6747
"" "average model method 2" 353 307.99391 1.48391 0.94245 2.77725 40.18954 1.64864 61.41158 18.05405 10500.0 69.15118 47.10135 0.13303 2.00288 198.35456 1.59332 3.10650e+01 10.33479 11.39891 1.54245 3.16401e+05 2.32158 4.05676e+04 1.27386 13.39651 1.64864 1.40082e+02 1.92671 8.08122e-04 1.93483 4.03609e+05 2.22596 1.32163e+05 1.44502 8.79370e+04 1.14940 8.93770e+04 2.15381 G051.6785+00.7193
"" "average model method 2" 153 356.06711 1.50613 0.16430 2.79891 36.48416 1.65629 62.03082 16.92897 9300.0 53.29723 30.28873 0.34257 2.01436 222.92188 1.79476 3.45588e+01 12.89593 9.09865 1.54755 1.91753e+05 2.60595 4.00635e+04 1.24674 12.16139 1.65629 3.13417e+02 1.86820 2.04148e-04 1.91650 2.19402e+05 2.50550 8.53218e+04 1.43045 5.45610e+04 1.09990 3.06286e+05 2.08238 G052.7533+00.3340
"" "average model method 2" 162 216.54845 1.71607 0.13477 2.35449 17.59522 1.52503 60.02622 18.09715 5000.0 12.29527 18.67036 0.29497 1.94441 147.73123 2.25892 2.94502e+01 14.09335 6.09907 1.62300 3.67773e+04 2.54683 3.23828e+04 1.26440 5.86507 1.52503 2.20542e+02 1.66830 1.12516e-04 1.64040 4.75631e+04 2.29505 2.23945e+04 1.28423 2.00485e+04 1.14555 2.75512e+05 1.80188 G053.9589+00.0320
"" "average model method 2" 267 314.64059 1.52166 0.13120 2.08304 20.15032 1.51485 59.86329 18.62793 4200.0 49.55909 41.71388 0.36037 1.74331 246.21875 1.72421 2.50482e+01 10.51611 6.48823 1.61766 5.10597e+04 2.43197 3.40807e+04 1.28983 6.71677 1.51485 2.22701e+02 1.65266 1.37118e-04 1.53556 6.52432e+04 2.18802 3.68637e+04 1.60288 2.61401e+04 1.23198 2.71408e+05 1.76045 G059.6027+00.9118
"" "average model method 2" 158 413.63310 1.18240 2.07137 1.74430 24.30753 1.38769 56.98620 21.31164 2160.0 603.52811 159.11272 0.10399 1.40582 364.86484 1.17573 1.48436e+01 4.51748 21.38263 2.08261 1.88445e+05 1.64992 2.60206e+04 1.52608 8.10251 1.38769 5.74376e+01 1.57957 1.36563e-03 1.36411 2.33734e+05 1.70725 1.94421e+05 1.90791 4.02688e+04 1.05708 3.45735e+04 1.68424 G060.8842-00.1286
"" "average model method 2" 193 399.72434 1.28474 1.69991 1.77720 32.25558 1.47245 55.78675 20.20519 4010.0 8.82024 35.95392 0.11284 1.46346 324.72656 1.32498 1.98908e+01 7.39287 15.23837 1.79465 2.89913e+05 1.64500 3.43281e+04 1.35205 10.75186 1.47245 7.98812e+01 1.64980 1.31258e-03 1.37655 3.72673e+05 1.58989 2.47866e+05 1.78993 2.16768e+05 1.23680 4.71029e+04 1.72340 G061.4770+00.0891
"" "average model method 2" 199 298.54817 1.61815 0.39841 4.08497 38.30686 1.50471 59.87873 16.50350 14000.0 45.77790 32.58296 0.20144 2.53693 186.18797 1.84277 3.40683e+01 9.27161 10.14247 1.49421 2.53186e+05 2.03832 4.06762e+04 1.26514 12.76895 1.50471 2.10510e+02 2.09998 3.98572e-04 2.48904 3.03001e+05 2.02964 1.04758e+05 1.38812 7.33507e+04 1.15960 1.67921e+05 2.71745 G061.7207+00.8630
