col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 60 394.59393 1.18200 3.16000 1.00000 24.00000 1.00000 57.34504 21.41925 4400.0 163.29977 36.72490 0.08223 1.08720 353.31030 1.21169 1.31896e+01 1.54160 31.67314 1.09005 2.68139e+05 1.01409 2.33505e+04 1.04751 8.00000 1.00000 4.67189e+01 1.06717 1.86095e-03 1.04034 3.01113e+05 1.02035 2.63598e+05 1.48674 1.36038e+05 1.03273 2.53635e+04 1.05398 G013.8726+00.2818
"" "average model method 2" 16 356.77996 1.71969 0.23709 4.68469 52.30006 1.37470 64.62679 16.55426 14700.0 7.24008 10.34688 0.28546 2.82632 206.39079 1.89247 3.95224e+01 5.51456 11.01184 1.12964 4.57640e+05 1.43544 4.52640e+04 1.10325 17.43335 1.37470 3.38982e+02 2.37660 3.14442e-04 2.53585 5.15878e+05 1.37540 1.67738e+05 1.19405 1.53593e+05 1.04793 2.80227e+05 3.15587 G014.1741+00.0245
"" "average model method 2" 14 405.10772 1.32632 0.17780 2.95244 78.38367 1.44655 73.52134 10.24539 11600.0 4.12164 3.87623 0.35125 1.91547 142.44156 1.56926 5.43903e+01 9.09390 13.49589 1.32451 8.42425e+05 1.91491 4.76249e+04 1.02928 26.12789 1.44655 6.09665e+02 1.77280 2.47248e-04 2.10806 8.99555e+05 1.86106 1.26224e+05 1.09903 1.18766e+05 1.04845 4.37181e+05 2.12780 G014.2460-00.0728
"" "average model method 2" 47 168.48836 1.71064 0.31614 4.39094 29.89184 1.50594 67.87323 14.03178 13100.0 13.75767 15.28835 0.16988 2.68568 74.84091 2.38045 4.36410e+01 10.67975 8.76749 1.61056 1.37595e+05 2.16235 3.75634e+04 1.33668 9.96395 1.50594 2.37179e+02 2.05067 2.24431e-04 2.52663 1.62317e+05 2.18473 3.79048e+04 1.21355 3.27152e+04 1.06980 2.08109e+05 2.72687 G014.7785-00.3328
"" "average model method 2" 11 152.41073 2.05978 0.65767 6.06996 26.77325 1.32138 54.82593 12.99859 12200.0 8.94369 12.58250 0.11202 3.52024 84.77706 2.59989 3.50680e+01 4.38600 10.71996 1.69976 1.54923e+05 1.34610 3.49932e+04 1.36482 8.92442 1.32138 1.44571e+02 2.40966 4.11253e-04 2.94063 1.87267e+05 1.50683 7.38081e+04 1.20625 6.55975e+04 1.04188 1.14095e+05 3.50401 G016.3913-00.1383
"" "average model method 2" 183 335.39067 1.46435 0.86481 2.70647 45.49739 1.64206 59.25923 16.65600 11100.0 46.51045 36.71560 0.14492 1.96497 211.48618 1.50946 3.24123e+01 10.46244 12.09316 1.44482 4.03417e+05 2.12802 4.18524e+04 1.21202 15.16580 1.64206 1.58319e+02 1.98524 8.12415e-04 1.85308 4.96020e+05 2.03917 1.59713e+05 1.34165 1.17656e+05 1.10707 9.96170e+04 2.18952 G016.9445-00.0738
"" "average model method 2" 126 303.23303 1.63592 0.16080 3.00962 31.56853 1.46000 65.34174 15.58595 17000.0 20.23424 19.79254 0.31955 2.18015 191.23935 2.09493 3.41978e+01 11.67477 8.12062 1.39172 1.43849e+05 2.13174 3.94669e+04 1.17080 10.52285 1.46000 2.90883e+02 1.78124 1.81308e-04 1.96496 1.66659e+05 2.07342 6.33480e+04 1.27791 5.27050e+04 1.10957 2.99987e+05 2.11509 G017.0299-00.0696
"" "average model method 2" 65 346.48535 1.48508 0.18259 2.88484 54.61744 1.62989 68.84844 14.17624 10400.0 16.37508 13.83079 0.32055 1.97979 156.57300 1.80323 4.61816e+01 11.95457 10.86892 1.38524 4.30288e+05 2.43113 4.48640e+04 1.07742 18.20581 1.62989 4.37352e+02 1.78215 2.31108e-04 2.00884 4.71338e+05 2.34949 1.00027e+05 1.21272 8.41758e+04 1.07310 3.60549e+05 2.04420 G017.1141-00.1124
"" "average model method 2" 11 441.82447 1.09989 0.15197 2.17291 89.60087 1.33931 78.00077 5.90811 10400.0 4.40838 3.94962 0.39677 1.48199 139.47014 1.42211 5.79902e+01 6.54974 14.76091 1.28052 1.05827e+06 1.69179 4.82108e+04 1.01549 29.86696 1.33931 7.46725e+02 1.28702 2.24769e-04 1.77310 1.09797e+06 1.68905 1.25424e+05 1.10790 1.17887e+05 1.05142 5.22247e+05 1.58764 G017.5549+00.1654
"" "average model method 2" 31 185.39407 1.77743 0.30463 4.88505 36.13461 1.46582 67.66931 14.80494 14100.0 9.99887 11.42121 0.18154 2.86551 70.21344 2.63695 4.79457e+01 10.68666 9.05675 1.33904 2.05588e+05 1.99601 4.08616e+04 1.19949 12.04487 1.46582 2.83968e+02 2.14754 2.30351e-04 2.74520 2.37997e+05 2.01912 4.97298e+04 1.19978 4.35142e+04 1.08047 2.33248e+05 2.94383 G017.9850+00.1266
