No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux(mJy) Angular_Size(arcsec)	MAGPIS 5GHz Flux(mJy)	Spectral index	S3_6	S4_5	S5_8	S8_0	Dist_h(kpc)	Diam(pc)	log(Tb)	log(Lbol)	Dist_G(kpc)
217	G045.4545+00.0591 UCHII	19:14:21.31	+11:09:11.70	1029.45	7.61		-0.27	704.08	1487.07	5402.69	16875.34	7.2	0.26	2.94	5.63	6.18
218	G045.4559+00.0613 UCHII	19:14:21.09	+11:09:21.61	51.59	3.38		-1.77	187.57	393.95	2661.24	8733.53	7.2	0.1	2.35	 	6.18
219	G045.4656+00.0452 UCHII	19:14:25.69	+11:09:25.24	62.26	1.70		0.71	32.56	103.05	98.79	 	6	0.049	3.02	5.12	6.06
220	G045.5431-00.0073 UCHII	19:14:45.74	+11:12:05.08	49.16	5.97		-0.38	52.16	74.41	726.58	2139.1	5.89	0.17	1.83	3.96	6.07
221	G048.6099+00.0270 UCHII	19:20:30.64	+13:55:42.21	131.22	7.06			476.67	427.73	910.97	2074.39	10.8	0.36	2.11	5.09	8.18
222	G048.9296-00.2793 UCHII	19:22:14.98	+14:04:00.67	185.39	6.16			72.36	120.43	 	 	5.4	0.16	2.38	4.36	6.41
223	G048.9901-00.2988 UCHII	19:22:26.11	+14:06:39.65	7.53	1.76			40.73	98.8	181.77	667.17	5.4	0.046	2.07	4.93	6.42
224	G049.2679-00.3374 UCHII	19:23:07.00	+14:20:15.81	102.61	6.22				 	 	 	5.4	0.16	2.11	4.18	6.44
225	G049.3666-00.3010 UCHII	19:23:10.61	+14:26:30.89	180.93	3.70			44.28	116.96	 	 	5.4	0.089	2.81	 	6.45
226	G049.4640-00.3511 UCHII	19:23:32.99	+14:30:14.83	698.65	5.76			46.41	115.48	734.54	3201.85	5.46	0.15	3.01	 	6.46
227	G049.4891-00.3763 UCHII	19:23:41.44	+14:30:51.41	217.31	3.07				 	 	 	5.46	0.071	3.05	5.67	6.46
228	G049.4905-00.3688 UCHII	19:23:39.93	+14:31:09.37	3821.72	5.76				 	 	 	5.4	0.15	3.75	5.36	6.46
229	G050.3152+00.6762 UCHII	19:21:27.51	+15:44:21.11	81.31	2.11			79.77	106.53	858.95	2480.15	1.9	0.014	2.95	3.93	7.43
230	G050.3157+00.6747 UCHII	19:21:28.17	+15:44:21.65	73.26	9.82			191.53	178.21	1536.99	4672.83	8.58	0.4	1.57	 	7.26
231	G051.6785+00.7193 UCHII	19:23:58.82	+16:57:41.54	22.55	1.79				 	 	 	10.5	0.091	2.54	5.28	8.48
232	G052.7533+00.3340 UCHII	19:27:32.21	+17:43:26.83	386.03	8.66			246.92	275.77	1925.19	5219.79	9.3	0.38	2.4	4.54	7.94
233	G053.9589+00.0320 UCHII	19:31:05.22	+18:38:16.91	46.00	2.32			72.29	97.01	674.4	1980.35	5	0.044	2.62	4.7	6.87
234	G058.7739+00.6457 UCHII	19:38:48.65	+23:08:40.13	4.76	2.72			108.24	160.66	1232.48	3168.97	4.4	0.049	1.5	4.42	7.27
235	G059.6027+00.9118 UCHII	19:39:34.65	+23:59:49.16	68.76	1.70			12.03	39.88	99.68	244.34	4.2	0.034	3.07	4.21	7.33
236	G060.8842-00.1286 UCHII	19:46:20.14	+24:35:29.24	18.67	1.50				 	 	 	2.16	0.016	2.61	4.23	7.68
237	G061.4763+00.0892 UCHII	19:46:49.07	+25:12:44.00	718.71	6.54				752.61	5192.64	15695.08	4.01	0.12	2.92	5.49	7.47
238	G061.4770+00.0891 UCHII	19:46:49.22	+25:12:48.04	66.92	1.53				198.75	 	 	4.01	0.03	3.15	 	7.47
239	G061.7207+00.8630 UCHII	19:44:23.64	+25:48:43.42	101.30	2.43			82.01	87.55	520.03	1465.15	14	0.13	2.92	5.59	12.5
